file,ground_truth,baseline_prediction,finetuned_prediction
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006758.wav,màu tóc nhuộm mới nên hòa hợp với tông làn da của bạn, Mầu tốc nhự mới nên hòa hợp với tông làn da của bạn,màu tốc nhựa mới nên hòa hợp với tông làn da của bạn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009902.wav,Ví dụ một nhà hàng một quán ăn một quán cà phê," Ví dụ một nhà hàng, một quán ăn, một quán cà phê.",Ví dụ một nhà hàng một con ăn một con cà phê
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003606.wav,Với người này ý kiến của mẹ vô cùng quan trọng, you,tôi có thể gửi bộ phim không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006113.wav,đó là những nhân tố tích cực có thể tác động đến lãi suất, Đó là những nhân tố tích cực có thể tác động đến lại xuất.,đó là những nhân tố tích cực có thể tác động đến lãi suất
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008953.wav,chiếc này dành riêng tổng thống mới đắc cử của mỹ xác nhận đã chuyển tới mật vụ mỹ chiếc xe dành cho tổng thống mới để thay thế chiếc xe cũ," Trưng lại dành riêng tổng thống mới đắc cử của Mỹ, sân nhận đã chuyển tới mặt vụ Mỹ, chiếc xe dành cho tổng thống mới để thay thế chiếc xe cũ.",chiếc này dành riêng tổng thống mới đắc kiểu của mỹ chất nhận đã chuyển tới mặt vụ mỹ chiếc xe dành cho tổn thộ mới để thay thế chiếch xe cũ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010636.wav,Sau đó ông mê man suốt trong chuyến hành trình," Sau đó, ông miền mang xuất trong chiến hành trình.",Sau đó ông Miên mang xuất trong chuyến hành trình
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001841.wav,Họ thấy mùi nước hoa làm họ buồn nôn đau đầu dễ bị kích động," Họ thấy mùi nước hoa làm họ buồn non, đau đau, dễ bị kích đọc.",Họ thấy mùi nước hoa làm họ buồn nôn đau đầu dễ bị kích độc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008156.wav,Game hi vọng sẽ được giới thiệu tới toàn thế giới vào tháng 4 tới, Nguyên minh vòng chạy giải thiếu đợi vàn thế giới vào thẳng tư tớ.,Game vi vọng sẽ giới thiệu tới văn thế giới vào tháng từ tới
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011605.wav,chưa đầy hai phút sau MU có thời cơ gỡ hòa," Chưa đầy 2 phút sau, mời ôm có thời cơ nữa hả?",chưa đợi hai phút sau MU có thời cơ gỡ họ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006795.wav,Tuy nhiên chỉ đến phiên tòa phúc thẩm này Hồng mới nhận tội," Tuy nhiên, chị đến phiên tò phút khẩm này không mới nhận tội.",Tuy nhiên chỉ đến phiên tò phút khẩm này Hồng mới nhận tội
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003112.wav,sơ hở về tuyển giáo viên ở châu á, Sơ hở về tuyển giáo viên ở Châu Á.,sơ hở về tuyển giáo viên ở châu âu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000176.wav,phòng quá ồn và tôi không thể ngủ được, Phòng quá ổn và tôi không thể ngủ được.,phòng quá ồn và tôi không thể ngủ được
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008577.wav,thành phố cổ nằm ở đâu, Thành phố cổ nằm ở đâu?,thành phố cổ nằm ở đâu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010142.wav,Làm điều ác rồi cũng sẽ bị báo ứng sớm hay muộn mà thôi," Làm điều ác rồi cũng sẽ bị bảo ứng, sợm hãy muộn mà thôi.",làm điều ạc rồi cũng sẽ bị báo ứng xớm hãy muộn mà thôi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007649.wav,nói cách khác muốn bóng rơi càng xa càng tốt thì góc ném phải là bao nhiêu," Nói cách khác, muộn bóng rơi càng xa càng tốt thì nên nhám gốc phải là bao nhiêu.",nói cách khác muộn bóng rơi càng xa càng tốt thì nên nhám góc phải là bao nhiêu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012191.wav,làm thế nào để nghe qua tai nghe này, làm thế nào để nghe qua tay nghe này,làm thế nào để nghe qua tai nghe này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008958.wav,tôi xin lỗi trả trước chín mươi chín ngày là bắt buộc," Tôi xin lỗi, trả chức 99 ngày làm bắt bột.",tôi xin lỗi trả trước chín mươi chín ngày làm bắt buộc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001181.wav,Lão chủ Pành xuất hiện ánh mắt rực lên dục vọng, Lạ chú banh xuất hiện ở mắt rực lên dục phần.,Lá chú Pành xuất hiện ánh mắt rực lên dục vòng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006954.wav,Vài tháng trước chị về nước lo giỗ cha, Bài thằng tuyệt trì về nước lo dũ chá,Vài tháng trước chị về nước lo rố cha
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006630.wav,nôn có phải triệu chứng duy nhất của N quí vị không, Nôn có phải triệu trứng duy nhất của quý vị không?,nôn có phải triệu chứng duy nhất của quý quí vị không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004223.wav,Nếu không thấy hạn dùng tốt nhất là không dùng," Nếu không thấy hàn dung, tốt nhất là không dung.",Nếu không thấy hạn dùng tốt nhất là không dùng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000703.wav,vẫn chưa rõ ông có đưa ra tuyên bố ủng hộ ứng viên nào trong thời gian tới hay không, Văn chân gió không có đưa ra tiếng đồ ủng hộ Việt Nam trong thời gian thời gian.,văn dương do hợp pháo đưa ra tuyến độ ủng hộ nguyên hào trong thời gian tới học
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004286.wav,Trong phiên giao dịch châu Á sáng nay giá vàng đang có xu hướng tăng nhẹ," Trong phiên dao xích châu à sàng này, giả vang đang cột xu hướng tăng nhè.",Trong phiên giao dịch châu Á sáng nay giá vàng đang có xu hướng tăng nhẹ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009996.wav,xin lỗi chỉ cắt gọn theo kiểu này," Xin lỗi, chỉ cần cách cạnh theo kiểu này.",xin lỗi chỉ cần cắt còn theo kiểu này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002774.wav,bóng đá nga thật kỳ lạ, Đó đã ra thật kỳ lạ,đóng đáng ra thật kỳ lạ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005022.wav,Riêng tại Bosnia đã có 1 triệu người bị ảnh hưởng bởi lũ lụt," Riêng tài, POSNIA đã có mục tiêu người biển hơn bên lúc lúc.",Riêng tại Bosnia đã có một triệu người biển hướng bận lúc lúc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008100.wav,Mạng chơi game trực tuyến lớn nhất được sử dụng để thi đấu là Battle, Mà chơi game trực tuyển lợi nhất được sử dụng để thi đạo là Battle.,Mảng chơi game trực tuyến lớn nhất được sử dụng để thi đấu là Petrol
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012870.wav,và ông ta nói rằng ông ta không biết, Và ông ta nói rằng ông ta không biết.,và ông ta nói rằng ông ta không biết
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013926.wav,ngắt đi, Nhắc đi!,ngắt đi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011596.wav,Không bàn thắng không ý tưởng anh đá như đi lạc đội hình," Không bàn thắng, không ý tưởng, anh đã như đi lạc đổi",Không bàn thắng không ý tưởng anh Đá như đi lạc đội
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003766.wav,Đến quá nửa đêm ngọn lửa cơ bản được dập tắt, Đến quá nửa đêm ngon nửa cơ bạn được chụp cắt.,Đến quá nửa đêm ngọn lửa cơ bạn được chụp cắt
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004767.wav,Anh ấy như thường lệ thức dậy rất sớm, Anh ấy như thương lê thức gia rất sớm, ánh ấy như thương lề thức dài rất sớm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003484.wav,phát biểu mở đầu sự kiện ngày trái đất ông đỗ hải vũ phó tổng cục trưởng tổng cục môi trường chỉ rõ ô nhiễm môi trường nói chung và ô nhiễm nước nói riêng không chỉ làm mất giá trị của cảnh vật mà còn làm tăng chi phí để xử lý những thiệt hại như phí cải tạo phục hồi môi trường và để đảm bảo sức khỏe," Phát biểu mở đầu, sự kiện Ngài trái đất, ông Đõ Hải Vũ, phó tổng cục trường tổng cục môi trường chỉ rõ, ôn những môi trường nói chung và ôn những nước nói riêng, không chỉ là mất giá trị của cảnh vật mà còn làm tăng chi phí để xử lý những thiện hại như phí cải tạo, phục hồi môi trường và để đảm bảo sức khỏe.",phát biểu mở đầu sự kiện ngày trái đất ông đỗ hải vũ phó tổng cục trưởng tổn cụt môi trường chỉ rõ ô nhiễm môi chường nói chung và ô nhiệm nước nói riêng không chỉ làm mất giá trị của cảnh vật mà còn làm tăng chi phí để xử lý những thiện hại như phí cải tạo phục hồi môi thường và để đảm bảo sức khỏe
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011237.wav,cơ quan điều tra đã bắt giữ đỗ hoàng ni, تو وہ دو چاہدا پڑھ دو ہم نہیں,tôi quan điều trai đậm được những cựn đỗ hoàng mỹ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005015.wav,Sự phối hợp đầy ngẫu hững của các màu sắc của một ngôi nhà tại Basel," Sửa phợ hợp đen ngậu hận quận, các sắc màu của một ngôi nhà tại Paseo.",Sửa phở hợp đầy ngẫu hứng của các sắc màu của mục ngôi nhà tại Paseo
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008831.wav,Rồi không cầm được nước mắt chị Thái òa khóc, Rồi không cầm được nước mắt chỉ thái hoa khóc.,Rồi không cầm được nước mắt chị thái òa khóc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011013.wav,vậy thực hư ra sao, Vậy thực hư ra sao?,vậy thực hư ra sao
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006225.wav,hành lý của tôi chưa ra, Hàn lý của tôi chưa ra?,hành lý của tôi chưa ra
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002969.wav,Bộ trưởng Chủ nhiệm Văn phòng Chính phủ Nguyễn Xuân Phúc, Bộ trưởng chủ nhiệm văn phòng chính phủ nguyên sinh phúc.,Bộ trường chủ nhiệm văn phòng Chính phủ Nguyễn Xuyên Phúc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006120.wav,Gia đình cho học tiếp nhưng Duyên không chịu, Giá đình cho học tiếp nhưng nguyên không chuyện.,Gia đình cho học tiếp nhưng duyên không chuyện
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011698.wav,Tại Công an tỉnh Phú Thọ Sơn khai thường sang gia đình chị Lan hút thuốc lào," Tại công an tỉnh Phú Thọ, Sơn Khai, thường sang gia đình trở lên khúc thúc lai.",Tại công an tỉnh Phú Thọ Sơn Khai thường sang gia đình chỉ lan khúc thuốc lai
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001998.wav,Đôi mắt vẫn trong veo làn da vẫn tươi tắn khuôn mặt vẫn đầy cuốn hút," Đôi mắt phản trong veo làng da phản tư tắn, khuôn mặt phản đầy cuốn hút.",Đôi mắt phẫn trong veo làn da phẫn tươi tắn cuôn mặt phẫn đầy cuốn hút
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002975.wav,tôi có thể ăn tối sau được không, Tôi có thể ăn tối sau được không?,tôi có thể ăn tối sau được không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010165.wav,đang diễn ra hoạt động gì tại ngôi nhà hoàng gia, Đang diễn ra hoạt động gì tại ngối nhà Hoàng Giang?,Đang diễn ra hoạt động gì tại ngôi nhà Hoàng Giang
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010406.wav,thức ăn nhật bản tốt cho sức khỏe chúng ta, Thức ăn Nhật Bản tốt cho sức khỏe chúng ta,thức ăn Nhật Bản tốt cho sức khỏe chúng ta
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007433.wav,bãi biển gần nhất ở đâu, Bài biển gần nhất ở đâu?,bãi biển gần nhất ở đâu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009625.wav,tiền điện tháng này bao nhiêu, Tiền điện tháng này bao nhiêu?,tiền điện tháng này bao nhiêu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008021.wav,Jessica xác định lần này cô muốn trở thành người phụ nữ của gia đình, Jessica xác Đình lần nay có muốn trợ thân người phụ nữ của gia đình.,Jessica xác định lần này cô muốn trở thành người phụ nữ của gia đình
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010093.wav,lúc đó quế đang ngồi chờ xe," Lúc đó, quê đang ngồi chờ xe.",lúc đó quế đang ngồi chờ xe
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000904.wav,điều hòa làm lạnh, Đi hoa làm lãnh,điều hòa làm lạnh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005469.wav,Dân số già chi tiêu cho y tế tiền lương hưu tăng cao, Đến số xa thì đều giao một đầy tiên lửa hư vang cao.,Dân số già khi tiêu trọ y tế tiền lương hữu tăng cao
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003428.wav,Mỗi lần tôi đi nước ngoài mẹ sẽ đi cùng," Mỗi lần tôi đi nước ngoài, mẹ sẽ đi cùng.",Mỗi lần tôi đi nước ngoài mẹ sẽ đi cùng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000318.wav,N Ốc sên cưỡi ếch đáy giếng, ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ,hóc sền cưới ánh đại diếng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007441.wav,trước đây tai của quí vị có bị chảy nước không," Trước đây, tay của quý vị có bị chảy nước không?",trước đây tai của quí vị có bị chảy nước không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011617.wav,bạn có vé cho buổi biểu diễn opera của phantom không, Bạn có bể cho buổi biểu diễn Opera của Phan Tâm không?,bạn có vẻ cho buổi biểu diễn opera của phanh tông không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000369.wav,làm ơn cho một ly rượu vang đỏ được không, Làm ơn cho 1 ly rượu vắng đỏ được không?,làm ơn cho một ly rượu vang đỏ được không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002518.wav,mua cái này đủ không, Mua cái này đủ không?,mua cái này đủ không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009580.wav,hệ tim phổi," Hè, điểm hội!",hề tím phồi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006037.wav,chúng ta cùng tham gia hội nghị về triển lãm, Chúng ta cùng tham gia hội nghị về triến lãm.,chúng ta cùng tham gia hội nghị về triển lãm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009930.wav,Mình thấy kiểu viết đó cũng hay không có gì để phải bài bác, Mình thấy kiểu việc đó cũng hay. Không có gì để phải ban bạc.,Mình thấy kiểu việc đó cũng hay không có gì để phải bàn bác
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008996.wav,Sau cơn sóng gió chúng tôi càng thương nhau nhiều hơn, Sau cơn sắm gió chúng tôi cảm thương nhau nhiều hơn,Sau cơn sóng gió chúng tôi càng thương nhau nhiều hơn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009323.wav,Nhưng Deportivo cũng kịp đáp trả bằng cú sút rất căng của đội trưởng Fran từ ngoài vạch 16m50 buộc Seaman phải trổ tài phản xạ, Nhưng Debo Tivo cũng kịp đẹp trả ban phú sụt rất căng của độ chướng Ren từ ngoài vặt 1650 bụng Siemens phải chỗ tai phản giả.,Nhưng Debertivo cũng kịp đếch trả băng cú sụt rất căng của trưởng Brand ở ngoài vặt 1650 buộc Simon phải trỗ tài phản xạ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008379.wav,ở anh người ta có cái nhìn như thế nào về bóng đá đức, Ủa anh người ta có cái nhìn như thế nào về bọn đá Đức?,ở anh người ta có cái nhìn như thế nào về bọn đá đức
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010121.wav,trống dong cờ mở đến cỡ nào nhưng nếu xa rời nguyên lí trên rốt cục cũng thất bại, Trồng gióng cơ mở đến cơ nào nhưng nếu cha rơi nguyên lý trên rượt cục cùng thất bại,trống dong cờ mở đến cỡ nào nhưng nếu xa rời nguyên lý trên rốt cục cũng thất bại
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002460.wav,Đà Nẵng đến Bình Thuận nhiều mây có mưa có nơi mưa vừa và dông," Đà nặng đến bình thuận nhiều mây có mưa, có nơi mưa vừa và dông.",Đà Nẵng đến Bình Thuận nhiều mây có mưa có nơi mưa vừa và dông
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007543.wav,bạn đã nhận được bản fax thứ sáu tuần trước của tôi chưa nhỉ, Bạn đã nhận được bàn phát thứ 6 tuần trước của tôi chứ nhỉ?,bạn đã nhận được bản pháp thứ sáu tuần trước của tôi chưa nhỉ
