path,sentence
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006648.wav,Đơn cử như dịch vụ rửa xe ô tô xe máy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007657.wav,giá hướng dẫn viên cho một ngày là bao nhiêu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006182.wav,Rất dễ nhận biết đối tượng nguy cơ bởi chỉ cần đo vòng hai
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004955.wav,sau khi chữa bệnh tôi thấy khỏe mạnh làm việc không biết mệt ăn uống bình thường
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003953.wav,Những năm tháng khó khăn cụ ông quần quật làm thuê làm mướn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_005751.wav,hồ sơ gồm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006889.wav,chìa khóa phòng tôi không hoạt động
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003107.wav,cô ấy có một cái răng bị đau mỗi khi thức ăn chạm vào
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001192.wav,ồ bạn có thể cho tôi biết phòng vệ sinh đâu không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008744.wav,tôi đang tìm áo sơ mi của anh ấy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012570.wav,trận chung kết nam giữa ninh bình và thể công đầy kịch tính và hấp dẫn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000108.wav,dòng sản phẩm thảm đỏ thôi miên mọi ánh nhìn bởi chi tiết xếp nếp mềm mại
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012816.wav,sang trái
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008528.wav,Newcastle bị buộc bồi thường danh dự cho Kevin Keegan
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_005591.wav,đi xem bóng đá mà trông cũng cá tính ghê không thể quên đeo dải khăn đỏ nhé
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009549.wav,Chọn được những con ốc còn mới màu sáng một chút thì sẽ đẹp hơn đó
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007810.wav,khi tôi ngưng sử dụng thuốc tránh thai sự rụng trứng sẽ bình thường phải không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002407.wav,TV lùi kênh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013120.wav,hộ chiếu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000464.wav,Vịt thích massage
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010569.wav,Ngoài ra nhổ răng khám sức khỏe hò hát ăn mặn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008280.wav,Giá bộ cao su chân máy thế nào bác pinocchio1
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006121.wav,phát minh cho phép người thở như cá
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004449.wav,xin cho hai ly nước
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004107.wav,Nhiều hộ gia đình bỏ nghề làm các việc khác mưu sinh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007476.wav,màu tím nhạt dành cho người có làn da vàng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010658.wav,hiện sức khỏe bà hòa rất nguy kịch
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009629.wav,tôi muốn rút ngắn thời gian nghỉ lại của tôi xuống còn bốn ngày
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001062.wav,Giờ tôi chẳng còn phương hướng nào cả chẳng biết dựa vào đâu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000278.wav,Triển lãm trưng bày bẩy mốt tác phẩm của họa sĩ Trương Hán Minh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001911.wav,Thực ra tôi khá bận ít có cơ hội xem phim
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011768.wav,Lúc đầu dự thảo có nội dung khá cứng hễ biệt thự là phải giữ lại
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009201.wav,tôi cần nó hỏa tốc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001239.wav,Chữa cổ họng sưng đau miệng ráo lưỡi khô nhiều đờm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002269.wav,trong các diễn biến khác hôm qua nga thông báo các ổ dịch mới
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003931.wav,thì phải dùng tiếng đàn lấp liếm giúp
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007350.wav,một khoảnh khắc im ắng lạ lẫm đột ngột bao trùm khắp trời đất lòng chảo Mường Thanh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002317.wav,So với trước năm nay bán khá chạy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006351.wav,Bà không thân Nga nhưng chịu đối thoại
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001168.wav,tôi bị đau răng tôi có thể lấy thuốc gì để chữa ạ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008353.wav,đây là hàng giành cho hành khách chân ấu và hàng đó giành cho hành khách không phải châu âu như bạn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007280.wav,quí vị đã xem xét khả năng này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000648.wav,Thực lòng tôi cũng chẳng có bí quyết gì
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004060.wav,Lên tới nhà trên vẫn ngậm dao trong miệng ông đảo một vòng trước mặt mọi người
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010209.wav,Chẳng khoe niềm vui chẳng kể nỗi buồn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013737.wav,dường như là hư hỏng do đóng gói chưa chắc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013150.wav,công việc này không cần kinh nghiệm chỉ cần nhiệt tình và chăm chỉ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007119.wav,tôi đến từ Iceland
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011228.wav,Nếu ở Hà Nội anh ta không bao giờ về nhà muộn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010992.wav,cái ghế mà anh ấy lấy trị giá chỉ năm Ringgit
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012552.wav,tôi muốn một cheeseburger một tách cà phê và một gói lớn khoai tây chiên
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003355.wav,mỗi ngày chúng ta dù không khỏe lắm nhưng vẫn đến phòng tập thể hình vẫn đi bộ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013319.wav,anh nên tập thể dục nhiều hơn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007147.wav,Dù lãnh đạo Bảo tàng An Giang cho rằng việc đắp hoa văn họa tiết
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005305.wav,Đối với các kim loại khác tình trạng cũng không khá hơn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008404.wav,Bạn ơi giúp mình với mình đăng kí Imel tren
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013924.wav,anh có thấy con rắn không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000682.wav,Tuy nhiên việc thuyết phục con đồng ý không đơn giản
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012217.wav,tên tôi là Tanaka tôi đã đăng ký chỗ từ nhật bản
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005402.wav,sản phẩm của chúng tôi hiện tại không được dự trữ nó
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012373.wav,các hãng lữ hành cũng chung số phận
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001917.wav,Nhìn lại một năm bạn cảm thấy thật hài lòng chưa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009948.wav,Những điều này tôi làm khi thấy rảnh khi thấy lòng muốn yên ổn một chút
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007909.wav,The Blues thu về 292 điểm nhiều hơn 1 điểm so với kình địch Manchester United
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013709.wav,khi những chiếc đĩa được dỡ bỏ lũ hà mã cũng chẳng thèm chú ý tới những chiếc nhãn đó nữa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011695.wav,vâng đúng mất bao lâu để đến nhật bản
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004576.wav,kế hoạch của anh cho ngày mai là gì
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001373.wav,anh có xe bus con thoi không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007641.wav,với người có răng bị chấn thương nên chụp phim mỗi năm để kiểm soát bệnh kịp thời
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001233.wav,Thời điểm xảy ra cháy tất cả đều xông vào cứu hỏa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002279.wav,Chiếc Zinger của mình cái cửa sau phía bên tài không thể mở được từ bên trong
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004156.wav,Không giống với những vai diễn trước của tôi May nói rất ít
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008688.wav,Để làm mình nổi bật với item này không khó
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001207.wav,hai hàng nước mắt giàn giụa lã chã tuôn rơi trên gương mặt gầy gò
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010633.wav,nền tản là nơi bạn đã ở đó trước khi bạn bị lạc lối
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001061.wav,Tôi yêu anh yêu tha thiết bằng cả trái tim mình
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006686.wav,Họ có quyền trêu hoa ghẹo nguyệt bên ngoài nhưng vẫn phải giữ êm ấm gia đình
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000493.wav,Chính phủ Mỹ đóng cửa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_005327.wav,nụ hôn của họ ướt át và nhem nhuốc họ luôn muốn mở to đôi mắt để quan sát
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008428.wav,tôi dị ứng với sản phẩm có sữa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012846.wav,khi nào xe buýt rời đi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009004.wav,hừ đợi đấy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006594.wav,Các loại bánh mứt thực phẩm chế biến thực phẩm công nghệ trái cây
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006260.wav,Ngay lập tức các biện pháp dùng kháng sinh bù nước điện giải được tiến hành
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004292.wav,người ta cho rằng số khúc gỗ ở dưới đáy bị dính nước bẩn ít thì kỳ kinh sẽ ngắn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011881.wav,những lỗi thí sinh thường gặp dẫn đến mất điểm khi làm bài thi trắc nghiệm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009581.wav,nhiều thẩm mỹ viện cũng làm loại mỹ phẩm này để phục vụ nhu cầu của khách hàng ban đầu một số khách đến đều hỏi mua nên chúng tôi đã làm thử
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002156.wav,Phía xa khúc sông hẹp mặt nước phẳng lặng là Hồ Craigie
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004888.wav,Tuy nhiên nghi phạm đã trốn khỏi địa phương
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010909.wav,do vậy bạn nên lưu ý điều này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002929.wav,tôi muốn lấy vài thứ trong túi xách
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006042.wav,Muốn đánh sập thế trận của đối phương trước hết họ cần đánh sập tinh thần
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001872.wav,tôi muốn mua quyển sách này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010951.wav,phiếu tính tiền có sai sót
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_004593.wav,tôi là học sinh cấp hai
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004334.wav,Các tỉnh Tây Nguyên nhiều mây có mưa rào vài nơi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000588.wav,các cầu thủ mu ăn mừng bàn thắng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004881.wav,Tất cả sẽ được bác sĩ Trần Văn Phúc bệnh viện Xanh pôn trả lời dưới đây
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003663.wav,Ngủ trên giường tôi một cái gối Ben cũng nằm một cái
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013396.wav,phụ thuộc khả năng vận hành
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003045.wav,điều hòa làm mát
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010138.wav,Hiện CA huyện Thanh Oai đã bắt ông Thuật lập hồ sơ xử lý
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000724.wav,Song thực tế không hoàn toàn như vậy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004474.wav,Tuy nhiên về lâu dài đó không phải là cách làm hoàn toàn đúng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010877.wav,Sửa nhanh các sự cố rò nước rò điện không nóng không lên đèn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007549.wav,tôi muốn hỏi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005044.wav,Fone đã xác nhận là mạng này đã chấm dứt hợp đồng với tất cả các nhân viên
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009774.wav,Mọi người vẫn giữ thói quen của người Việt hàng xóm gặp nhau chào hỏi nói chuyện
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006528.wav,tôi lo lắng phàn nàn khi biết rằng ngoài xã hội có bao nhiêu cạm bẫy thì anh bảo tôi là chỉ hay suy diễn nghĩ ngợi lung tung
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008958.wav,Nơi đây suốt đêm lẫn ngày tiếng chim cò rộn rã
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005228.wav,Tin tưởng trung thành và một quyết định có thể yên tâm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005303.wav,xin vui lòng cho tôi một bản đồ tuyến tàu điện ngầm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001216.wav,Đặc biệt với phụ nữ mang thai cười nhiều rất tốt cho tuyến sữa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009890.wav,bất cứ khi nào amidan của anh ấy sưng lên anh ấy bị sốt
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011371.wav,Rồi ăn mặc xe cộ cũng phải theo thời thế
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001189.wav,cô ấy đã uống rồi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007541.wav,một thành phố như thế xứng đáng được ca tụng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011367.wav,Trong khi đó tại Thanh Hóa nhiều nơi đã có mưa to đến rất to
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002176.wav,Trong thời gian giải lao anh không nở một nụ cười nào
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003978.wav,tôi thích chúng chúng có cảm giác dễ chịu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011529.wav,Brown đồng ý nhường bước để Blair ra tranh cử chức lãnh đạo công đảng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010947.wav,Một phần tôi rất vui rất xúc động nhưng phần khác thì hơi buồn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011271.wav,hai mí mắt bạn có bị sưng đến nổi bạn không mở mắt được
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005809.wav,Chạy đua với mô hình này các ngân hàng nhỏ cũng bắt đầu tăng tốc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004938.wav,Ngày ấy chỉ có cái nhà gianh dột nát lắm cháu mày ơi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008010.wav,phát hiện mặt nạ cổ bằng vàng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011311.wav,tôi muốn khoai tây với cái này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000945.wav,Đọc bài tâm sự này xong tôi cảm thấy hơi buồn cười
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010607.wav,những từ cần phải lắng nghe lời gọi cuối cùng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009574.wav,Theo giá thị trường nói như vậy mông lung quá
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007794.wav,mẹ đã nói con bao nhiêu lần là hãy ngưng cái đó
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_014110.wav,có lẽ ăn lên làm ra nhất trong các dịch vụ là cáp treo
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013501.wav,có cửa hàng cafe không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011259.wav,tất nhiên việc đầu tiên của các binh sĩ mỹ khi nhìn thấy nó là lập tức cho gỡ xuống
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001041.wav,không đáng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002135.wav,ông tem được minh oan
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007575.wav,Chị có thể hát điêu luyện cả cải lương chèo ca trù
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009259.wav,Bây giờ cu cậu sợ đến nỗi không có giày dép là không chịu được
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005249.wav,tôi cảm thấy buồn nôn bạn có túi nôn không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003336.wav,tôi ra nhiều mồ hôi lạnh và thấy run rẩy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006391.wav,Tôi chỉ hạn chế xuất hiện và xuất hiện có chọn lọc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009165.wav,May xong bà gửi chiếc áo vào chiến khu cho tôi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011560.wav,Cũng đừng đôi co với lão ý làm gì nhỡ lên cơn chó điên thì mình thiệt thân
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007930.wav,Giờ đây đội bóng miền Tây Bắc nước Anh không còn mục tiêu phấn đấu tại Premiership
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000828.wav,bỏ tù nạn nhân cưỡng hiếp tập thể
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003010.wav,tôi chỉ nói được một ít tiếng anh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005494.wav,Ở An Sinh cũng thế ko thấy khám soi tai
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009189.wav,Rồi thì Mỵ của Vợ chồng A Phủ nghệ sĩ Đức Hoàn đi từ rất lâu rồi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001146.wav,theo lời kể của người này trong một lần hai vợ chồng đùa giỡn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010265.wav,Nâng mông lên về phía trần nhà cẩn thận đừng để cho lưng cong quá mức
